Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Ungraded Males Total""""","Primary Ungraded Females Total""""","Primary Ungraded Total""""","Primary Total""""","Year 7 Males Total""""","Year 7 Females Total""""","Year 7 Total""""","Year 8 Males Total""""","Year 8 Females Total""""","Year 8 Total""""","Year 9 Males Total""""","Year 9 Females Total""""","Year 9 Total""""","Year 10 Males Total""""","Year 10 Females Total""""","Year 10 Total""""","Year 11 Males Total""""","Year 11 Females Total""""","Year 11 Total""""","Year 12 Males""""","Year 12 Females""""","Year 12 Total""""","Secondary Ungraded Males Total""""","Secondary Ungraded Females Total""""","Secondary Ungraded Total""""","Secondary Total""""","Grand Total"""""
Catholic,2,20,Parade College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,330,335,0,335,318,0,318,320,0,320,309,0,309,246,0,246,0,0,0,1858,1858
Catholic,2,25,Simonds Catholic College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,86,81,0,81,75,0,75,89,0,89,67,0,67,89,0,89,0,0,0,487,487
Catholic,2,26,Christian Brothers' College St Kilda,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,102,103,0,103,87,0,87,67,0,67,94,0,94,92,0,92,0,0,0,545,545
Catholic,2,28,St Patrick's College Ballarat,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,246,237,0,237,247,0,247,252,0,252,253,0,253,188.6,0,188.6,0,0,0,1423.6,1423.6
Catholic,2,29,St Patrick's School,Primary,O,15,19,34,16,23,39,17,15,32,24,17,41,24,16,40,22,15,37,10,12,22,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245
Catholic,2,30,St Alipius' Parish School,Primary,O,19,25,44,16,18,34,23,20,43,22,17,39,13,17,30,25,13,38,16,12,28,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
Catholic,2,33,Emmanuel College Inc.,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,110,217,87,118,205,90,107,197,104,106,210,107,100,207,85.9,104.6,190.5,0,0,0,1226.5,1226.5
Catholic,2,35,Loreto College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.4,156.4,0,156,156,0,151,151,0,155,155,0,129,129,0,132,132,0,0,0,879.4,879.4
Catholic,2,60,St Mary's School,Primary,O,22,16,38,14,29,43,26,15,41,21,19,40,21,20,41,17,13,30,12,11,23,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
Catholic,2,77,Sacred Heart School,Primary,O,15,24,39,20,29,49,20,24,44,22,12,34,14,18,32,10,14,24,24,19,43,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265
Catholic,2,78,St Mary's School,Primary,O,30,21,51,24,28,52,28,25,53,24,24,48,27,37,64,28,21,49,17,24,41,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358
Catholic,2,98,St Michael's School,Primary,O,6,3,9,3,4,7,5,8,13,11,10,21,4,11,15,7,10,17,6.2,8,14.2,0,0,0,96.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.2
Catholic,2,104,St Patrick's School,Primary,O,22,24,46,21,25,46,20,25,45,25,27,52,24,28,52,25.2,19,44.2,24,22,46,0,0,0,331.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331.2
Catholic,2,106,Presentation College Windsor,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,0,92,92,0,91,91,0,93,93,0,102,102,0,86,86,0,0,0,565,565
Catholic,2,107,St Mary's School,Primary,O,20,28,48,19,25,44,16,27,43,23,20,43,28,22,50,12,22,34,9,19,28,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290
Catholic,2,111,Assumption College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,90,208,114,95,209,113,91,204,109,88,197,103,102,205,92,100,192,0,0,0,1215,1215
Catholic,2,113,St Brendan's School,Primary,O,11,21,32,18,19,37,16,13,29,14,14,28,16,14,30,4,9,13,8,11,19,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
Catholic,2,130,Catholic College Bendigo,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.2,138,263.2,137,152,289,180,154,334,199.8,176,375.8,155,133,288,139,146,285,0,0,0,1835,1835
Catholic,2,132,St Augustine's School,Primary,O,16,12,28,12,23,35,12,20,32,24,19,43,18,18,36,17,21,38,17.4,12,29.4,0,0,0,241.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.4
Catholic,2,139,St Mary's School,Primary,O,28,36,64,29,20,49,25,25,50,32,23,55,25,27,52,27,28,55,32,23,55,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380
Catholic,2,140,St Aloysius' School,Primary,O,21,11,32,15,20,35,16,14,30,13,24,37,11,12,23,15,13,28,14,13,27,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212
Catholic,2,148,St Joseph's School,Primary,O,42.2,29,71.2,28,28,56,34,30,64,37,32,69,32,29,61,15,16,31,8,10,18,0,0,0,370.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.2
Catholic,2,149,Sacre Coeur,Pri/Sec,O,0,17,17,0,18,18,0,22,22,0,22,22,0,24,24,0,50,50,0,48,48,0,0,0,201,0,89,89,0,102,102,0,82,82,0,92,92,0,88,88,0,76,76,0,0,0,529,730
Catholic,2,151,St Joseph's School,Primary,O,12,10,22,6,16,22,14,23,37,7,15,22,16,9,25,7,17,24,5,11,16,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
Catholic,2,152,Sacred Heart School,Primary,O,10,15,25,10,9,19,10,10,20,12,11,23,10,7,17,9,6,15,15,14,29,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
Catholic,2,153,Sacred Heart School,Primary,O,6,2,8,13,8,21,12,8,20,14,8,22,6,8.6,14.6,14,8,22,13,5,18,0,0,0,125.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.6
Catholic,2,154,St Michael's School,Primary,O,24,33,57,26,22,48,24,30,54,33,25,58,28,23,51,29,24,53,30,24,54,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375
Catholic,2,156,St Brendan's School,Primary,O,28,22,50,27,38,65,27,28,55,26,32,58,32,31,63,33,28,61,36,28,64,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416
Catholic,2,161,St Mary's College,Pri/Sec,O,24,11,35,23,17,40,16,16,32,13,21,34,23,18,41,23,14,37,12,28,40,0,0,0,259,25,16,41,25,20,45,13,17,30,14,18,32,0,0,0,0,0,0,0,0,0,148,407
Catholic,2,181,St Mary's School,Primary,O,6,3,9,4,1,5,7,1,8,7,3,10,3,3,6,6,6,12,3,3,6,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
Catholic,2,183,St Mary's Primary School,Primary,O,11,12,23,10,11,21,12,13,25,15,16,31,5,10,15,12,10,22,7,14,21,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158
Catholic,2,184,St Patrick's Primary School,Primary,O,42,35,77,40,37,77,44,32,76,43,40,83,35,49,84,41,41,82,44,34,78,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557
Catholic,2,185,St Brigid's School,Primary,O,8,15,23,10,9,19,13,4,17,17.6,13,30.6,15,6,21,8,8,16,6,6,12,0,0,0,138.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.6
Catholic,2,187,St Patrick's School,Primary,O,1,6,7,6,0,6,4,5,9,2,3,5,3,8,11,5,2,7,5,3,8,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
Catholic,2,189,St Michael's School,Primary,O,1,2,3,0,2,2,0,2,2,0,3,3,0,0.6,0.6,3,3,6,1,2,3,0,0,0,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6
Catholic,2,191,St Mary's School,Primary,O,8,8,16,14,10,24,6,8,14,9,19,28,11,16,27,8,9,17,12,9,21,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147
Catholic,2,192,St Augustine's School,Primary,O,6,10,16,8,8,16,3,5,8,4,6,10,5.6,3,8.6,4,8,12,5,6,11,0,0,0,81.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.6
Catholic,2,204,St Monica's School,Primary,O,24,25,49,21,28,49,24,25,49,35,32,67,21,17,38,19,19,38,28,21,49,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339
Catholic,2,205,St Joseph's School,Primary,O,20,26,46,26,20,46,27,20,47,30,25,55,27,22,49,27,16,43,21,30,51,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337
Catholic,2,212,St Brendan's Primary School,Primary,O,3,3,6,1,1,2,2,4,6,3,4,7,2,2,4,5,0,5,0,4,4,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
Catholic,2,219,Sacred Heart College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,235,0,233,233,0,231,231,0,232,232,0,229,229,0,222,222,0,0,0,1382,1382
Catholic,2,227,St Patrick's School,Primary,O,1,4,5,8,8,16,3,6,9,2,2,4,3,6,9,2,0,2,2,5,7,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
Catholic,2,236,St Joseph's College Mildura,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,97,180,84,114,198,84,102.6,186.6,93,86,179,60,42,102,34,56,90,0,0,0,935.6,935.6
Catholic,2,250,Star of the Sea College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,199,0,200,200,0,193,193,0,197,197,0,159,159,0,181,181,0,0,0,1129,1129
Catholic,2,251,St James' School,Primary,O,10,16,26,23,22,45,8,20,28,14,32,46,18,29,47,4,19,23,3,26,29,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244
Catholic,2,252,St Peter's School,Primary,O,47,50,97,41,55,96,54,48,102,56,42,98,52,51,103,44,43,87,43,50,93,0,0,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676
Catholic,2,262,St Liborius' School,Primary,O,22,20,42,19,27,46,21,14,35,15,18,33,18,20,38,16,13,29,14,20,34,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257
Catholic,2,265,Damascus College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,107,200,67,124,191,73,106,179,71,109,180,67,81,148,55,66,121,0,0,0,1019,1019
Catholic,2,285,St Mary's School,Primary,O,4,3,7,10,4,14,8,5,13,6,5,11,10,12.4,22.4,9,5,14,16,8,24,0,0,0,105.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.4
Catholic,2,286,Sacred Heart College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,85,164,68,76,144,72,89,161,77,65,142,59,53,112,49,67,116,0,0,0,839,839
Catholic,2,289,St Ambrose's School,Primary,O,13,18,31,15,9,24,20,18,38,16,16,32,24,23,47,14,11,25,17,15,32,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229
Catholic,2,299,St Joseph's School,Primary,O,4,2,6,3,2,5,1,7,8,4,3,7,3,2,5,5,2,7,3,1,4,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
Catholic,2,324,Sacred Heart School,Primary,O,20,23,43,13,5,18,13,16,29,20,14,34,12,12,24,13,16,29,12,8,20,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197
Catholic,2,336,St Paul's School,Primary,O,24,19,43,18,14,32,25,26,51,14,21,35,17,25,42,18,24,42,15,14,29,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274
Catholic,2,338,St Andrew's School,Primary,O,30,22,52,29,20.6,49.6,34,26,60,32,21,53,50,27,77,26,14,40,25,30,55,0,0,0,386.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386.6
Catholic,2,353,St Brigid's School,Primary,O,13,17,30,9,10,19,6,18,24,11,15,26,16,15,31,13,4,17,17,16,33,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
Catholic,2,355,Our Lady of Mount Carmel School,Primary,O,18.4,25,43.4,29,14,43,18,23,41,23,18,41,14,26,40,10,18,28,26,15,41,0,0,0,277.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.4
Catholic,2,367,St Joseph's School,Primary,O,1,1,2,4,5,9,3,1,4,2,4,6,3,2,5,3,4,7,1,3,4,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
Catholic,2,368,St Mary's School,Primary,O,11,10,21,4.2,9,13.2,2,12,14,8,9.6,17.6,4,7,11,10,7,17,1,7,8,0,0,0,101.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.8
Catholic,2,379,St Mary's School,Primary,O,4,2,6,2,4,6,1,2,3,2,6,8,2,3,5,2,4,6,3,3,6,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Catholic,2,384,FCJ College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,34,64,34,24,58,29,43,72,30,28,58,17,23,40,22,31,53,0,0,0,345,345
Catholic,2,386,St Patrick's School,Primary,O,46,39,85,51,33,84,51,43,94,46,45,91,52,31,83,45,36,81,38,39.4,77.4,0,0,0,595.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595.4
Catholic,2,401,Sacred Heart Primary School,Primary,O,30,39,69,32,29,61,20,30,50,27,36,63,33,32,65,27,30,57,26,22,48,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413
Catholic,2,404,Xavier College,Pri/Sec,O,18,11,29,19,5,24,24,4,28,21,9,30,32,10,42,164,0,164,205,0,205,0,0,0,522,241,0,241,234,0,234,252,0,252,239,0,239,252,0,252,257,0,257,0,0,0,1475,1997
Catholic,2,409,St Joseph's School,Primary,O,2,2,4,3,5,8,4,2,6,5,0,5,2,3,5,2,2,4,2,4,6,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
Catholic,2,411,Marian College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,56,99,60,64,124,43,57,100,44.3,46,90.3,38.4,38,76.4,42,50.4,92.4,0,0,0,582.1,582.1
Catholic,2,413,Sacred Heart School,Primary,O,5,4,9,0,3,3,2,2,4,3,3,6,1,0,1,3,3,6,5,4,9,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
Catholic,2,414,St Bernard's School,Primary,O,20,25,45,19,23,42,18,14,32,16,15,31,13,21,34,15,17,32,14,16,30,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246
Catholic,2,445,St Patrick's School,Primary,O,3,15,18,14,12,26,6,6,12,16,10,26,5,9,14,10,6,16,17,6,23,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
Catholic,2,467,Academy of Mary Immaculate,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,0,110,110,0,99,99,0,105,105,0,96,96,0,103,103,0,0,0,605,605
Catholic,2,468,Sacred Heart School,Primary,O,9,10,19,8,9,17,7,3,10,5,18,23,2,9,11,6,5,11,10,9,19,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
Catholic,2,474,Mount Lilydale Mercy College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,133,261,121,145,266,114,144,258,124,124,248,107,133,240,82,112,194,0,0,0,1467,1467
Catholic,2,477,St Monica's School,Primary,O,12,5,17,9,12,21,10,10,20,4,7,11,9,12,21,8,3,11,7,12,19,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
Catholic,2,478,St Augustine's School,Primary,O,17,18,35,18,14,32,11,25,36,18,15,33,18,19,37,11,17,28,17,14,31,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
Catholic,2,486,St Michael & St John's School,Primary,O,26,15,41,20,21,41,19,18,37,22,12,34,18,23,41,16,15,31,20,16,36,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261
Catholic,2,495,Trinity College Colac Inc,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,58,134,62,62,124,64,75,139,72,49,121,57,70,127,45,66,111,0,0,0,756,756
Catholic,2,496,St Mary's School,Primary,O,18,22,40,23,19,42,20,14.2,34.2,29,20,49,20,22,42,10,16,26,14,24,38,0,0,0,271.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.2
Catholic,2,500,Kilbreda College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,181,0,151,151,0,179,179,0,167,167,0,156,156,0,144,144,0,0,0,978,978
Catholic,2,501,Padua College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,214,454,208,220,428,197,203,400,165,170,335,167,166,333,139,144,283,0,0,0,2233,2233
Catholic,2,515,Notre Dame College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,147,298,172,162,334,138,149,287,158,163,321,133,131,264,105,116,221,0,0,0,1725,1725
Catholic,2,518,Sacred Heart College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,24,52,22,30,52,29,18,47,25,17,42,13,24,37,14,23,37,0,0,0,267,267
Catholic,2,524,St John's School,Primary,O,13,16,29,10,9,19,15,15,30,13,6,19,12,18,30,8,3,11,7,10,17,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
Catholic,2,525,St Joseph's School,Primary,O,26,13,39,14,24,38,21,23,44,27,17,44,13,18,31,14,27,41,17,25,42,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279
Catholic,2,539,St Joseph's School,Primary,O,40,44,84,38,44,82,45,47,92,51,33,84,41,52,93,34,37,71,31,46,77,0,0,0,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583
Catholic,2,548,Saint Ignatius College Geelong,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,112,225,122,102,224,100,100,200,104,85,189,82,86,168,62,78,140,0,0,0,1146,1146
Catholic,2,549,St Mary's School,Primary,O,16,17,33,13,18,31,17,14,31,16,12,28,19,10.4,29.4,10,16,26,14,22,36,0,0,0,214.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.4
Catholic,2,550,St Patrick's School,Primary,O,33,37,70,42,32,74,39,39,78,38,29,67,25,31,56,30,36,66,21,29,50,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461
Catholic,2,566,St Monica's Primary School,Primary,O,40,37,77,44,36,80,41,38,79,42,35,77,42,39,81,32,43,75,33,39,72,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541
Catholic,2,567,St Patrick's School,Primary,O,17,13,30,27,19,46,21,18,39,22,20,42,10,9,19,17,15,32,12,9,21,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229
Catholic,2,576,Catholic Ladies' College Ltd,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,141,0,169,169,0,201,201,0,139,139,0,136,136,0,142,142,0,0,0,928,928
Catholic,2,579,St Joseph's School,Primary,O,8,9,17,7,16,23,10,10,20,9,8,17,16,7,23,6.4,8,14.4,5,7,12,0,0,0,126.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.4
Catholic,2,581,St Mary's School,Primary,O,9,4,13,7,13,20,10,10,20,9,9,18,7,7,14,5,3,8,5,6,11,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
Catholic,2,584,St Mary's School,Primary,O,34,38,72,30,39,69,31,35,66,27,40,67,30,38,68,32,18,50,29,28,57,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449
Catholic,2,590,Sacred Heart School,Primary,O,22,19,41,28,20,48,22.4,23.6,46,22,26,48,24.6,19,43.6,13,17,30,6,18,24,0,0,0,280.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.6
Catholic,2,594,St Mary's School,Primary,O,18,9,27,18,6,24,17,17,34,13,12,25,8,21,29,12,14,26,13,8,21,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186
Catholic,2,595,St Joseph's College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,95,160,55,86,141,79,83,162,72,88,160,81,72,153,49,66,115,0,0,0,891,891
Catholic,2,599,St Patrick's School,Primary,O,14,9,23,11,16,27,15.4,20,35.4,12,9,21,8,12,20,5,14,19,11,11,22,0,0,0,167.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.4
Catholic,2,603,St Joseph's School,Primary,O,5,11,16,7,11,18,10,6,16,10,8,18,8,6,14,8,6,14,7,9,16,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
Catholic,2,605,St Aloysius College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,115,0,73,73,0,84,84,0,83,83,0,80,80,0,75,75,0,0,0,510,510
Catholic,2,607,All Saints Parish School,Primary,O,8,19,27,15,12,27,13,18,31,20,16,36,21,21,42,19,16,35,23,21,44,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242
Catholic,2,625,Catholic College Sale,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,70,152,67,69,136,65,87,152,95,85,180,79,64,143,58,66,124,0,0,0,887,887
Catholic,2,646,St Augustine's College,Pri/Sec,O,25,32,57,26,31.4,57.4,29,40,69,34,22,56,33,20,53,25,29,54,24,19,43,0,0,0,389.4,28,37,65,30,38,68,27,28,55,24,26,50,30,18,48,17,26,43,0,0,0,329,718.4
Catholic,2,653,Our Holy Redeemer School,Primary,O,11,11,22,12,23,35,9,14,23,24,16,40,10,21,31,3,14,17,14,8,22,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
Catholic,2,661,Our Lady of the Sacred Heart Primary,Primary,O,4,1,5,2,1,3,1,1,2,4,0,4,1,3,4,3,2,5,0,1,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Catholic,2,672,St Joseph's School,Primary,O,7,9,16,11,12,23,4,9,13,10,19,29,3,7,10,10,7,17,8,5,13,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
Catholic,2,684,St Joseph's School,Primary,O,5,1,6,3,1,4,0,0,0,2,2,4,5,1,6,1,1,2,1,1,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Catholic,2,690,Mercy Regional College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,36,82,47,33,80,39,48,87,35,43,78,46,46,92,22,50,72,0,0,0,491,491
Catholic,2,691,St Patrick's School,Primary,O,23,17,40,23,21,44,24,36,60,30,23,53,25,28,53,14,24,38,15,21.2,36.2,0,0,0,324.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.2
Catholic,2,707,St Columba's College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,174,0,172,172,0,195,195,0,157,157,0,160,160,0,155,155,0,0,0,1013,1013
