Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Ungraded Males Total""""","Primary Ungraded Females Total""""","Primary Ungraded Total""""","Primary Total""""","Year 7 Males Total""""","Year 7 Females Total""""","Year 7 Total""""","Year 8 Males Total""""","Year 8 Females Total""""","Year 8 Total""""","Year 9 Males Total""""","Year 9 Females Total""""","Year 9 Total""""","Year 10 Males Total""""","Year 10 Females Total""""","Year 10 Total""""","Year 11 Males Total""""","Year 11 Females Total""""","Year 11 Total""""","Year 12 Males""""","Year 12 Females""""","Year 12 Total""""","Secondary Ungraded Males Total""""","Secondary Ungraded Females Total""""","Secondary Ungraded Total""""","Secondary Total""""","Grand Total"""""
Independent,2,1322,Camberwell Girls Grammar School,Pri/Sec,O,0,26,26,0,26,26,0,34,34,0,23,23,0,23,23,0,32,32,0,32,32,0,0,0,196,0,73,73,0,87,87,0,79,79,0,76,76,0,103,103,0,102,102,0,0,0,520,716
Independent,2,1377,"Preshil, The Margaret Lyttle Memorial School",Pri/Sec,O,10,6,16,11,6,17,0,6,6,7,7,14,10,8,18,15,4,19,6,7,13,0,0,0,103,13,11,24,11,13,24,21,9,30,18,12,30,18,10,28,15,5,20,0,0,0,156,259
Independent,2,1490,Mount Scopus Memorial College,Pri/Sec,O,46,52,98,54,45,99,51,43,94,56,50,106,48,32,80,41,49,90,48,40,88,0,0,0,655,48,41,89,46,45,91,44,57,101,46,49,95,60,43,103,56,55,111,0,0,0,590,1245
Independent,2,1498,Henderson College,Pri/Sec,O,8,5,13,5,10,15,4,5,9,6,9,15,3,6,9,10,8,18,3,10,13,0,0,0,92,4,6,10,11,4,15,4,9,13,3,7,10,0,0,0,0,0,0,0,0,0,48,140
Independent,2,1508,Nunawading Christian College-Primary,Primary,O,14,17,31,10,10,20,19,15,34,11,11,22,11,8,19,16,19,35,18,22,40,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201
Independent,2,1511,Heritage College,Pri/Sec,O,12,15,27,22,23,45,17,21,38,10,13,23,15,14,29,16,15,31,11,10,21,0,0,0,214,16,13,29,17,20,37,20,10,30,18,18,36,16,11,27,9,19,28,0,0,0,187,401
Independent,2,1515,Adass Israel School,Pri/Sec,O,24,20,44,23,21,44,18,22,40,27,20,47,21,23,44,16,28,44,23,21,44,0,0,0,307,21,23,44,24,16,40,20,13,33,19,16,35,16,22,38,0,14,14,0,0,0,204,511
Independent,2,1533,Yeshivah College,Pri/Sec,O,45,0,45,44,0,44,41,0,41,36,0,36,32,0,32,30,0,30,27,0,27,0,0,0,255,27,0,27,21,0,21,26,0,26,10,0,10,18,0,18,10,0,10,0,0,0,112,367
Independent,2,1559,Rossbourne School,Special,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,31,128,128,128
Independent,2,1561,Beth Rivkah Ladies College,Pri/Sec,O,0,58,58,0,51,51,0,62,62,0,47,47,0,44,44,0,50,50,0,37,37,0,0,0,349,0,48,48,0,35,35,0,40,40,0,42,42,0,39,39,0,33,33,0,0,0,237,586
